title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Doin' Time,Lana Del Rey,2019,145.0,56.0,64.0,-11.0,9.0,52.0,202.0,40.0,4.0,83.0
Don't,Bryson Tiller,2015,97.0,36.0,77.0,-6.0,10.0,19.0,198.0,22.0,20.0,83.0
I Like It,Cardi B,2018,136.0,73.0,82.0,-4.0,37.0,65.0,253.0,10.0,13.0,83.0
7 Years,Lukas Graham,2016,120.0,47.0,77.0,-6.0,39.0,34.0,237.0,29.0,5.0,83.0
Treasure,Bruno Mars,2012,116.0,69.0,87.0,-5.0,32.0,94.0,179.0,4.0,4.0,83.0
Shower,Becky G,2014,120.0,53.0,70.0,-8.0,28.0,12.0,206.0,3.0,5.0,83.0
Location,Khalid,2017,80.0,45.0,74.0,-11.0,9.0,33.0,219.0,33.0,43.0,83.0
We Can't Stop,Miley Cyrus,2013,80.0,62.0,61.0,-6.0,37.0,48.0,231.0,1.0,3.0,83.0
Scream & Shout,will.i.am,2013,130.0,69.0,77.0,-7.0,13.0,50.0,283.0,2.0,7.0,83.0
DNA.,Kendrick Lamar,2017,140.0,52.0,64.0,-7.0,8.0,42.0,186.0,0.0,36.0,83.0
Riptide,Vance Joy,2014,102.0,73.0,48.0,-7.0,15.0,51.0,204.0,43.0,4.0,83.0
Despacito,Luis Fonsi,2019,178.0,80.0,66.0,-5.0,7.0,84.0,229.0,20.0,15.0,83.0
Best Day Of My Life,American Authors,2014,100.0,90.0,67.0,-2.0,6.0,54.0,194.0,6.0,3.0,83.0
a lot,21 Savage,2018,146.0,64.0,84.0,-8.0,34.0,27.0,289.0,4.0,9.0,83.0
Mirrors,Justin Timberlake,2013,77.0,51.0,57.0,-7.0,9.0,51.0,484.0,23.0,5.0,83.0
Don't Let Me Down,The Chainsmokers,2016,160.0,87.0,53.0,-5.0,14.0,42.0,208.0,16.0,17.0,83.0
FRIENDS,Marshmello,2018,95.0,88.0,63.0,-2.0,13.0,53.0,203.0,21.0,5.0,83.0
Don't,Bryson Tiller,2015,97.0,36.0,77.0,-6.0,10.0,19.0,198.0,22.0,20.0,83.0
Budapest,George Ezra,2014,128.0,46.0,72.0,-8.0,11.0,39.0,201.0,8.0,3.0,83.0
I Fall Apart,Post Malone,2016,144.0,54.0,56.0,-5.0,20.0,29.0,223.0,7.0,4.0,83.0
Can't Feel My Face,The Weeknd,2015,108.0,77.0,71.0,-6.0,11.0,58.0,214.0,11.0,4.0,83.0
Bang Bang,Jessie J,2014,150.0,79.0,71.0,-3.0,38.0,75.0,199.0,26.0,9.0,83.0
God is a woman,Ariana Grande,2018,145.0,66.0,60.0,-6.0,24.0,27.0,198.0,2.0,6.0,83.0
3005,Childish Gambino,2013,166.0,45.0,47.0,-7.0,9.0,64.0,234.0,11.0,33.0,83.0
IDGAF,Dua Lipa,2017,97.0,54.0,84.0,-6.0,8.0,51.0,218.0,4.0,9.0,83.0
Royals,Lorde,2013,85.0,43.0,67.0,-10.0,13.0,34.0,190.0,12.0,12.0,83.0
Pop Out (feat. Lil Tjay),Polo G,2019,168.0,64.0,77.0,-7.0,7.0,26.0,167.0,15.0,47.0,83.0
Señorita,Shawn Mendes,2019,117.0,55.0,76.0,-6.0,8.0,75.0,191.0,4.0,3.0,83.0
Down,Jay Sean,2009,132.0,68.0,73.0,-4.0,8.0,73.0,213.0,1.0,3.0,83.0
ROXANNE,Arizona Zervas,2019,117.0,60.0,62.0,-6.0,46.0,46.0,164.0,5.0,15.0,83.0
Super Bass,Nicki Minaj,2010,127.0,86.0,72.0,-4.0,60.0,67.0,200.0,27.0,20.0,83.0
If the World Was Ending (feat. Julia Michaels),JP Saxe,2019,76.0,47.0,46.0,-10.0,11.0,60.0,209.0,87.0,13.0,83.0
Going Bad (feat. Drake),Meek Mill,2018,86.0,50.0,89.0,-6.0,25.0,54.0,181.0,26.0,9.0,83.0
Alors on danse - Radio Edit,Stromae,2010,120.0,59.0,79.0,-9.0,7.0,71.0,206.0,10.0,8.0,83.0
Glad You Came,The Wanted,2011,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,83.0
Wow.,Post Malone,2019,100.0,54.0,83.0,-7.0,10.0,39.0,150.0,14.0,21.0,83.0
Drive By,Train,2012,122.0,84.0,77.0,-3.0,8.0,72.0,196.0,0.0,3.0,82.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2019,90.0,52.0,76.0,-4.0,7.0,93.0,158.0,53.0,6.0,82.0
Magnolia,Playboi Carti,2017,163.0,58.0,79.0,-7.0,35.0,44.0,182.0,1.0,29.0,82.0
Am I Wrong,Nico & Vinz,2014,120.0,68.0,73.0,-6.0,55.0,78.0,246.0,18.0,3.0,82.0
"Me, Myself & I",G-Eazy,2015,112.0,67.0,76.0,-7.0,16.0,39.0,251.0,2.0,10.0,82.0
Without Me,Halsey,2018,136.0,49.0,75.0,-7.0,9.0,53.0,202.0,30.0,7.0,82.0
I Knew You Were Trouble.,Taylor Swift,2012,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,82.0
Team,Lorde,2013,100.0,58.0,69.0,-7.0,31.0,42.0,193.0,17.0,9.0,82.0
Savage Love (Laxed - Siren Beat),Jawsh 685,2020,150.0,48.0,77.0,-9.0,27.0,76.0,171.0,23.0,8.0,82.0
ily (i love you baby) (feat. Emilee),Surf Mesa,2019,112.0,77.0,67.0,-8.0,39.0,33.0,177.0,7.0,9.0,82.0
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011,95.0,66.0,72.0,-6.0,12.0,53.0,207.0,5.0,14.0,82.0
Tusa,KAROL G,2019,101.0,72.0,80.0,-3.0,6.0,57.0,201.0,30.0,30.0,82.0
Money In The Grave (Drake ft. Rick Ross),Drake,2019,101.0,50.0,83.0,-4.0,12.0,10.0,205.0,10.0,5.0,82.0
Grenade,Bruno Mars,2010,110.0,56.0,70.0,-7.0,11.0,25.0,222.0,15.0,5.0,82.0
Outside (feat. Ellie Goulding),Calvin Harris,2014,128.0,82.0,65.0,-4.0,32.0,42.0,227.0,21.0,4.0,82.0
Nonstop,Drake,2018,155.0,41.0,91.0,-8.0,10.0,42.0,239.0,2.0,12.0,82.0
Levels - Radio Edit,Avicii,2011,126.0,89.0,58.0,-6.0,31.0,46.0,200.0,5.0,3.0,82.0
I Feel It Coming,The Weeknd,2016,93.0,82.0,77.0,-6.0,7.0,59.0,269.0,43.0,12.0,82.0
Hotline Bling,Drake,2016,135.0,63.0,89.0,-8.0,5.0,55.0,267.0,0.0,6.0,82.0
FourFiveSeconds,Rihanna,2015,206.0,27.0,58.0,-6.0,13.0,35.0,188.0,88.0,5.0,82.0
Goodbyes (feat. Young Thug),Post Malone,2019,150.0,65.0,55.0,-4.0,10.0,16.0,175.0,46.0,8.0,82.0
MIA (feat. Drake),Bad Bunny,2018,97.0,54.0,82.0,-6.0,10.0,16.0,210.0,1.0,6.0,82.0
no tears left to cry,Ariana Grande,2018,122.0,71.0,70.0,-6.0,29.0,35.0,206.0,4.0,6.0,82.0
oui,Jeremih,2015,79.0,72.0,42.0,-4.0,11.0,60.0,238.0,21.0,10.0,82.0
Waves - Robin Schulz Radio Edit,Mr. Probz,2014,120.0,51.0,83.0,-9.0,8.0,45.0,208.0,1.0,4.0,82.0
"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,2016,93.0,28.0,49.0,-13.0,10.0,18.0,251.0,69.0,30.0,82.0
Team,Lorde,2013,100.0,58.0,69.0,-7.0,31.0,42.0,193.0,17.0,9.0,82.0
Good Time,Owl City,2012,126.0,87.0,56.0,-4.0,37.0,68.0,206.0,2.0,14.0,82.0
Fiel,Los Legendarios,2021,98.005,70.1,84.89999999999999,-4.407,11.200000000000001,50.5,261.667,40.699999999999996,6.0,82.0
RAPSTAR,Polo G,2021,81.039,53.6,78.9,-6.862,12.9,43.7,165.926,41.0,24.2,82.0
I Knew You Were Trouble.,Taylor Swift,2012,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,82.0
Bank Account,21 Savage,2017,75.0,35.0,88.0,-8.0,9.0,38.0,220.0,2.0,35.0,82.0
Bandido,Myke Towers,2021,168.021,61.7,71.3,-4.637,9.62,68.2,232.853,12.2,8.870000000000001,82.0
Psycho (feat. Ty Dolla $ign),Post Malone,2018,140.0,56.0,75.0,-8.0,11.0,46.0,221.0,55.0,11.0,82.0
Hey Brother,Avicii,2013,125.0,78.0,55.0,-5.0,8.0,46.0,255.0,3.0,4.0,82.0
S&M,Rihanna,2010,128.0,68.0,77.0,-5.0,9.0,84.0,244.0,1.0,4.0,82.0
Cruel Summer,Taylor Swift,2019,170.0,70.0,55.0,-6.0,11.0,56.0,178.0,12.0,16.0,82.0
24K Magic,Bruno Mars,2016,107.0,80.0,82.0,-4.0,15.0,63.0,226.0,3.0,8.0,82.0
Feel This Moment (feat. Christina Aguilera),Pitbull,2012,136.0,76.0,67.0,-4.0,34.0,54.0,230.0,4.0,16.0,82.0
Save That Shit,Lil Peep,2017,106.0,58.0,53.0,-9.0,42.0,14.0,232.0,3.0,3.0,82.0
1-800-273-8255,Logic,2017,100.0,57.0,62.0,-8.0,19.0,36.0,250.0,57.0,5.0,82.0
ZEZE (feat. Travis Scott & Offset),Kodak Black,2018,98.0,60.0,86.0,-6.0,9.0,50.0,229.0,5.0,18.0,82.0
Only Girl (In The World),Rihanna,2010,126.0,71.0,79.0,-4.0,6.0,64.0,235.0,11.0,4.0,82.0
Jealous,Labrinth,2014,117.0,15.0,44.0,-9.0,11.0,10.0,288.0,87.0,5.0,82.0
All Of The Lights,Kanye West,2010,142.0,80.0,53.0,-3.0,18.0,22.0,300.0,8.0,7.0,82.0
PILLOWTALK,ZAYN,2016,125.0,70.0,58.0,-4.0,9.0,44.0,203.0,12.0,5.0,82.0
The Monster,Eminem,2013,110.0,85.0,78.0,-4.0,12.0,62.0,250.0,5.0,7.0,81.0
Sunday Best,Surfaces,2019,112.0,53.0,88.0,-7.0,7.0,69.0,159.0,18.0,6.0,81.0
My House,Flo Rida,2015,94.0,70.0,69.0,-5.0,13.0,74.0,192.0,2.0,5.0,81.0
You Need To Calm Down,Taylor Swift,2019,85.0,67.0,77.0,-6.0,6.0,71.0,171.0,1.0,6.0,81.0
Who Says,Selena Gomez & The Scene,2011,101.0,93.0,68.0,-3.0,15.0,74.0,196.0,8.0,5.0,81.0
Hawái,Maluma,2020,180.0,73.0,78.0,-3.0,6.0,56.0,199.0,19.0,39.0,81.0
boyfriend (with Social House),Ariana Grande,2019,190.0,80.0,40.0,-4.0,16.0,70.0,186.0,12.0,46.0,81.0
"break up with your girlfriend, i'm bored",Ariana Grande,2019,170.0,55.0,73.0,-5.0,11.0,34.0,190.0,4.0,9.0,81.0
Señorita,Shawn Mendes,2019,117.0,55.0,76.0,-6.0,8.0,75.0,191.0,4.0,3.0,81.0
Mo Bamba,Sheck Wes,2018,146.0,63.0,73.0,-5.0,25.0,26.0,184.0,19.0,3.0,81.0
Power Trip (feat. Miguel),J. Cole,2013,100.0,61.0,67.0,-7.0,43.0,48.0,241.0,32.0,22.0,81.0
Te Boté - Remix,Nio Garcia,2018,97.0,68.0,90.0,-3.0,6.0,44.0,418.0,54.0,21.0,81.0
Break My Heart,Dua Lipa,2020,113.0,73.0,73.0,-3.0,35.0,47.0,222.0,17.0,9.0,81.0
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010,131.0,60.0,76.0,-6.0,24.0,36.0,264.0,1.0,4.0,81.0
Delicate,Taylor Swift,2017,95.0,40.0,75.0,-10.0,9.0,5.0,232.0,22.0,7.0,81.0
Nice For What,Drake,2018,93.0,91.0,59.0,-6.0,12.0,76.0,211.0,9.0,7.0,81.0
Raise Your Glass,P!nk,2010,122.0,71.0,70.0,-5.0,3.0,62.0,203.0,0.0,8.0,81.0
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2017,103.0,71.0,66.0,-4.0,8.0,74.0,175.0,3.0,5.0,81.0
Blame (feat. John Newman),Calvin Harris,2014,128.0,86.0,41.0,-4.0,34.0,35.0,213.0,3.0,8.0,81.0
Sorry Not Sorry,Demi Lovato,2017,144.0,64.0,71.0,-7.0,26.0,89.0,204.0,2.0,23.0,81.0
Best Song Ever,One Direction,2013,118.0,88.0,65.0,-3.0,8.0,49.0,200.0,2.0,5.0,81.0
What Do You Mean?,Justin Bieber,2015,125.0,57.0,85.0,-8.0,8.0,79.0,206.0,59.0,10.0,81.0
Shotgun,George Ezra,2018,116.0,74.0,67.0,-5.0,24.0,75.0,201.0,29.0,5.0,81.0
Perfect,One Direction,2015,100.0,82.0,65.0,-5.0,12.0,40.0,230.0,6.0,8.0,81.0
Way down We Go,KALEO,2016,163.0,51.0,49.0,-8.0,10.0,34.0,214.0,58.0,12.0,81.0
Love Galore (feat. Travis Scott),SZA,2017,135.0,59.0,80.0,-6.0,16.0,41.0,275.0,11.0,7.0,81.0
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016,108.0,43.0,89.0,-10.0,9.0,23.0,177.0,3.0,14.0,81.0
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,2013,96.0,69.0,85.0,-7.0,11.0,66.0,234.0,2.0,28.0,81.0
Somebody That I Used To Know,Gotye,2011,129.0,50.0,86.0,-7.0,10.0,72.0,245.0,59.0,4.0,81.0
Just Can’t Get Enough,Black Eyed Peas,2010,94.0,63.0,66.0,-9.0,11.0,26.0,219.0,19.0,18.0,81.0
Exchange,Bryson Tiller,2015,160.0,43.0,53.0,-11.0,14.0,28.0,195.0,11.0,19.0,81.0
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,2016,105.0,59.0,80.0,-6.0,6.0,59.0,214.0,10.0,4.0,81.0
My House,Flo Rida,2015,94.0,70.0,69.0,-5.0,13.0,74.0,192.0,2.0,5.0,81.0
Don't You Worry Child - Radio Edit,Swedish House Mafia,2012,129.0,84.0,61.0,-3.0,12.0,44.0,213.0,11.0,5.0,81.0
Starving,Hailee Steinfeld,2016,100.0,62.0,73.0,-4.0,11.0,51.0,182.0,38.0,6.0,81.0
Better,Khalid,2018,98.0,55.0,60.0,-10.0,10.0,11.0,229.0,8.0,10.0,81.0
Shout Out to My Ex,Little Mix,2016,126.0,75.0,77.0,-4.0,11.0,80.0,246.0,2.0,9.0,81.0
Piece Of Your Heart,MEDUZA,2019,124.0,74.0,68.0,-7.0,7.0,63.0,153.0,4.0,3.0,81.0
In the Name of Love,Martin Garrix,2016,134.0,52.0,50.0,-6.0,45.0,17.0,196.0,11.0,4.0,81.0
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2016,102.0,71.0,66.0,-7.0,8.0,71.0,198.0,4.0,11.0,81.0
Cooler Than Me - Single Mix,Mike Posner,2010,130.0,82.0,77.0,-5.0,69.0,63.0,213.0,18.0,5.0,81.0
i'm so tired...,Lauv,2020,102.0,73.0,60.0,-7.0,24.0,53.0,163.0,18.0,20.0,81.0
Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,128.0,87.0,62.0,-4.0,6.0,47.0,235.0,3.0,3.0,81.0
Lemonade (feat. Gunna Don Toliver & NAV),Internet Money,2021,140.042,65.8,80.0,-6.142,11.1,46.2,195.429,25.0,7.9,81.0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,2017,101.0,75.0,89.0,-3.0,9.0,87.0,223.0,6.0,6.0,81.0
Thinkin Bout You,Frank Ocean,2012,130.0,34.0,72.0,-11.0,10.0,20.0,201.0,41.0,5.0,81.0
Feel It Still,Portugal. The Man,2017,79.0,80.0,80.0,-5.0,7.0,75.0,163.0,4.0,5.0,81.0
Location (feat. Burna Boy),Dave,2019,110.0,50.0,81.0,-6.0,10.0,55.0,241.0,27.0,30.0,81.0
Good Feeling,Flo Rida,2012,128.0,89.0,71.0,-4.0,31.0,68.0,248.0,6.0,7.0,81.0
Safaera,Bad Bunny,2020,96.0,83.0,61.0,-4.0,11.0,69.0,295.0,1.0,38.0,81.0
Sugar (feat. Francesco Yates),Robin Schulz,2015,123.0,82.0,64.0,-5.0,16.0,64.0,219.0,2.0,6.0,81.0
Set Fire to the Rain,Adele,2011,108.0,67.0,60.0,-4.0,11.0,45.0,243.0,0.0,2.0,81.0
BUTTERFLY EFFECT,Travis Scott,2018,141.0,63.0,76.0,-6.0,11.0,19.0,191.0,5.0,5.0,81.0
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016,108.0,43.0,89.0,-10.0,9.0,23.0,177.0,3.0,14.0,81.0
Take Care,Drake,2011,122.0,52.0,63.0,-10.0,9.0,30.0,277.0,3.0,27.0,81.0
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,2014,120.0,38.0,66.0,-6.0,10.0,43.0,252.0,39.0,3.0,81.0
Look What You Made Me Do,Taylor Swift,2017,128.0,71.0,77.0,-6.0,13.0,51.0,212.0,20.0,12.0,81.0
Renegades,X Ambassadors,2015,90.0,86.0,53.0,-6.0,23.0,53.0,195.0,1.0,9.0,80.0
Take Me to Church,Hozier,2014,129.0,66.0,57.0,-5.0,12.0,44.0,242.0,63.0,5.0,80.0
Love Me Harder,Ariana Grande,2014,99.0,71.0,47.0,-4.0,8.0,24.0,236.0,1.0,3.0,80.0
Mine,Bazzi,2018,143.0,79.0,71.0,-4.0,45.0,72.0,131.0,2.0,7.0,80.0
Caroline,Aminé,2017,120.0,34.0,94.0,-10.0,26.0,71.0,210.0,17.0,51.0,80.0
Him & I (with Halsey),G-Eazy,2017,88.0,73.0,59.0,-6.0,31.0,19.0,269.0,5.0,9.0,80.0
What the Hell,Avril Lavigne,2011,150.0,93.0,58.0,-4.0,14.0,88.0,221.0,0.0,5.0,80.0
Break Free,Ariana Grande,2014,130.0,70.0,69.0,-5.0,20.0,28.0,215.0,1.0,5.0,80.0
Eastside (with Halsey & Khalid),benny blanco,2018,89.0,68.0,56.0,-8.0,12.0,32.0,174.0,56.0,32.0,80.0
Work,Rihanna,2016,92.0,53.0,73.0,-6.0,9.0,56.0,219.0,8.0,9.0,80.0
We Found Love,Rihanna,2011,128.0,77.0,74.0,-4.0,11.0,60.0,215.0,3.0,4.0,80.0
Stay,Zedd,2017,102.0,62.0,69.0,-5.0,12.0,54.0,210.0,25.0,6.0,80.0
Airplanes (feat. Hayley Williams of Paramore),B.o.B,2010,93.0,87.0,66.0,-4.0,4.0,38.0,180.0,11.0,12.0,80.0
I Don't Fuck With You,Big Sean,2015,98.0,73.0,82.0,-5.0,33.0,40.0,284.0,4.0,6.0,80.0
Rude Boy,Rihanna,2009,174.0,75.0,56.0,-4.0,8.0,81.0,223.0,11.0,13.0,80.0
Don't Tell 'Em,Jeremih,2015,98.0,53.0,86.0,-5.0,11.0,39.0,267.0,39.0,10.0,80.0
Counting Stars,OneRepublic,2014,122.0,71.0,66.0,-5.0,12.0,48.0,258.0,7.0,4.0,80.0
Renegades,X Ambassadors,2015,90.0,86.0,53.0,-6.0,23.0,53.0,195.0,1.0,9.0,80.0
Him & I (with Halsey),G-Eazy,2017,88.0,73.0,59.0,-6.0,31.0,19.0,269.0,5.0,9.0,80.0
Black Beatles,Rae Sremmurd,2016,146.0,63.0,79.0,-6.0,13.0,36.0,292.0,14.0,6.0,80.0
Swang,Rae Sremmurd,2016,140.0,31.0,68.0,-9.0,10.0,17.0,208.0,20.0,6.0,80.0
How Deep Is Your Love,Calvin Harris,2015,122.0,87.0,74.0,-4.0,39.0,34.0,213.0,4.0,7.0,80.0
THE SCOTTS,THE SCOTTS,2020,130.0,54.0,72.0,-8.0,16.0,28.0,166.0,23.0,5.0,80.0
Headlines,Drake,2011,152.0,57.0,64.0,-7.0,9.0,43.0,236.0,37.0,11.0,80.0
Last Friday Night (T.G.I.F.),Katy Perry,2012,126.0,82.0,65.0,-4.0,67.0,77.0,231.0,0.0,4.0,80.0
Blueberry Faygo,Lil Mosey,2020,99.0,55.0,77.0,-8.0,13.0,35.0,163.0,21.0,4.0,80.0
The A Team,Ed Sheeran,2011,85.0,29.0,64.0,-10.0,18.0,41.0,258.0,67.0,4.0,80.0
Can I Be Him,James Arthur,2016,108.0,54.0,70.0,-6.0,9.0,48.0,247.0,31.0,5.0,80.0
Perfect Strangers,Jonas Blue,2018,118.0,86.0,73.0,-4.0,21.0,70.0,197.0,39.0,5.0,80.0
In My Feelings,Drake,2018,91.0,63.0,84.0,-6.0,40.0,35.0,218.0,6.0,13.0,80.0
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2016,169.0,79.0,50.0,-4.0,65.0,74.0,243.0,26.0,32.0,80.0
Clarity,Zedd,2012,128.0,78.0,51.0,-3.0,7.0,18.0,271.0,4.0,7.0,80.0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016,102.0,76.0,72.0,-4.0,18.0,74.0,251.0,41.0,5.0,80.0
We Found Love,Rihanna,2011,128.0,77.0,74.0,-4.0,11.0,60.0,215.0,3.0,4.0,80.0
Old Town Road,Lil Nas X,2019,136.0,53.0,91.0,-6.0,10.0,51.0,113.0,6.0,13.0,80.0
Sail,AWOLNATION,2011,119.0,44.0,83.0,-10.0,10.0,27.0,259.0,44.0,6.0,80.0
Nights Like This (feat. Ty Dolla $ign),Kehlani,2019,146.0,73.0,61.0,-5.0,15.0,29.0,202.0,37.0,15.0,80.0
Pure Water (with Migos),Mustard,2019,202.0,56.0,68.0,-6.0,34.0,14.0,192.0,17.0,13.0,80.0
bury a friend,Billie Eilish,2019,120.0,39.0,91.0,-15.0,11.0,20.0,193.0,74.0,33.0,80.0
Troublemaker (feat. Flo Rida),Olly Murs,2012,106.0,86.0,76.0,-4.0,13.0,97.0,186.0,2.0,6.0,80.0
We Are Never Ever Getting Back Together,Taylor Swift,2012,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,80.0
Black and Yellow,Wiz Khalifa,2011,164.0,83.0,68.0,-5.0,27.0,54.0,218.0,6.0,7.0,80.0
Skyfall,Adele,2012,76.0,55.0,35.0,-7.0,11.0,8.0,286.0,42.0,3.0,80.0
Pompeii,Bastille,2013,127.0,72.0,68.0,-6.0,27.0,57.0,214.0,8.0,4.0,80.0
China,Anuel AA,2019,105.0,81.0,79.0,-4.0,8.0,61.0,302.0,8.0,9.0,80.0
Black Skinhead,Kanye West,2013,130.0,81.0,77.0,-6.0,17.0,33.0,188.0,0.0,28.0,80.0
Truth Hurts,Lizzo,2019,158.0,62.0,72.0,-3.0,12.0,41.0,173.0,11.0,11.0,80.0
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2018,93.0,66.0,58.0,-5.0,11.0,43.0,189.0,2.0,30.0,80.0
Never Be the Same,Camila Cabello,2018,130.0,71.0,64.0,-4.0,14.0,24.0,227.0,18.0,7.0,79.0
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,2017,129.0,81.0,84.0,-5.0,12.0,81.0,209.0,50.0,6.0,79.0
The Motto,Drake,2011,202.0,44.0,77.0,-9.0,11.0,39.0,182.0,0.0,36.0,79.0
Mercy,Kanye West,2012,140.0,50.0,56.0,-9.0,17.0,43.0,329.0,7.0,41.0,79.0
Superheroes,The Script,2014,167.0,89.0,49.0,-4.0,7.0,64.0,245.0,0.0,4.0,79.0
Please Me,Cardi B,2019,134.0,57.0,75.0,-7.0,8.0,65.0,201.0,6.0,8.0,79.0
Kill This Love,BLACKPINK,2019,132.0,84.0,76.0,-5.0,23.0,65.0,191.0,32.0,19.0,79.0
Love On Top,Beyoncé,2011,94.0,75.0,65.0,-5.0,60.0,65.0,267.0,8.0,9.0,79.0
Dark Horse,Katy Perry,2013,132.0,59.0,65.0,-6.0,17.0,35.0,216.0,0.0,5.0,79.0
Love Me Harder,Ariana Grande,2014,99.0,71.0,47.0,-4.0,8.0,24.0,236.0,1.0,3.0,79.0
Marry You,Bruno Mars,2010,145.0,82.0,62.0,-5.0,10.0,45.0,230.0,33.0,4.0,79.0
King Kunta,Kendrick Lamar,2015,107.0,66.0,88.0,-5.0,15.0,49.0,235.0,1.0,10.0,79.0
Live While We're Young,One Direction,2012,126.0,86.0,66.0,-2.0,14.0,93.0,200.0,5.0,5.0,79.0
Runaway (U & I),Galantis,2015,126.0,81.0,51.0,-4.0,9.0,38.0,227.0,1.0,5.0,79.0
Tonight Tonight,Hot Chelle Rae,2011,100.0,78.0,69.0,-5.0,16.0,81.0,200.0,8.0,12.0,79.0
Plain Jane,A$AP Ferg,2017,170.0,84.0,80.0,-5.0,9.0,52.0,174.0,7.0,28.0,79.0
Nevermind,Dennis Lloyd,2017,100.0,69.0,60.0,-8.0,41.0,8.0,157.0,16.0,20.0,79.0
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,2012,95.0,53.0,78.0,-7.0,5.0,67.0,236.0,6.0,29.0,79.0
Secreto,Anuel AA,2019,92.0,80.0,81.0,-4.0,14.0,71.0,259.0,60.0,13.0,79.0
Ophelia,The Lumineers,2016,76.0,57.0,66.0,-7.0,9.0,57.0,160.0,61.0,3.0,79.0
679 (feat. Remy Boyz),Fetty Wap,2015,190.0,72.0,62.0,-6.0,63.0,60.0,197.0,0.0,32.0,79.0
Break Your Heart,Taio Cruz,2010,122.0,93.0,61.0,-4.0,9.0,57.0,202.0,3.0,3.0,79.0
Dance Monkey,Tones And I,2021,98.0,59.0,82.0,-6.0,15.0,51.0,209.0,69.0,9.0,79.0
Rain On Me (with Ariana Grande),Lady Gaga,2020,123.0,86.0,67.0,-4.0,32.0,65.0,182.0,2.0,4.0,79.0
Losin Control,Russ,2017,97.0,25.0,76.0,-7.0,10.0,21.0,238.0,52.0,14.0,79.0
When We Were Young,Adele,2015,144.0,60.0,38.0,-6.0,10.0,27.0,291.0,30.0,5.0,79.0
Slow Hands,Niall Horan,2017,86.0,43.0,74.0,-7.0,6.0,85.0,188.0,1.0,5.0,79.0
BURN IT DOWN,Linkin Park,2012,110.0,97.0,59.0,-4.0,7.0,59.0,230.0,1.0,5.0,79.0
Nothin' on You (feat. Bruno Mars),B.o.B,2010,104.0,85.0,69.0,-6.0,9.0,74.0,268.0,39.0,5.0,79.0
Qué Más Pues?,J Balvin,2021,102.014,81.69999999999999,90.3,-3.972,24.2,73.2,217.36,2.7199999999999998,9.5,79.0
We Are Young (feat. Janelle Monáe),fun.,2012,184.0,64.0,38.0,-6.0,8.0,74.0,251.0,2.0,8.0,79.0
When You Love Someone,James TW,2019,126.0,45.0,68.0,-6.0,5.0,35.0,217.0,26.0,3.0,79.0
Adventure of a Lifetime,Coldplay,2015,112.0,92.0,64.0,-4.0,15.0,53.0,264.0,0.0,4.0,79.0
Liability,Lorde,2017,76.0,23.0,59.0,-11.0,10.0,38.0,172.0,92.0,13.0,79.0
Intentions (feat. Quavo),Justin Bieber,2020,148.0,55.0,81.0,-7.0,10.0,87.0,213.0,30.0,6.0,79.0
Blank Space,Taylor Swift,2014,96.0,68.0,75.0,-5.0,13.0,58.0,232.0,9.0,6.0,79.0
Middle,DJ Snake,2016,105.0,70.0,58.0,-5.0,5.0,22.0,221.0,1.0,4.0,79.0
Walk It Talk It,Migos,2018,146.0,63.0,91.0,-5.0,11.0,40.0,276.0,9.0,18.0,79.0
"Honey, I'm Good.",Andy Grammer,2014,122.0,78.0,75.0,-7.0,35.0,60.0,199.0,3.0,5.0,78.0
Habits (Stay High),Tove Lo,2014,110.0,65.0,73.0,-4.0,8.0,35.0,209.0,7.0,3.0,78.0
Low Life (feat. The Weeknd),Future,2016,144.0,33.0,72.0,-8.0,15.0,10.0,314.0,34.0,7.0,78.0
